studID,grade,testScore,GPA
19175,8,10,0.96
57059,8,21,2.016
62294,8,28,4
76617,8,9,1.728
50952,8,28,2.688
54194,8,18,1.728
10725,8,17,NA
96188,8,30,4
22363,8,9,0.864
36957,8,26,2.496
64295,8,23,4
44978,8,36,3.456
81160,8,21,4
70311,8,36,4
11131,8,19,1.824
26440,8,12,8
68750,8,45,4
14763,8,20,NA
51930,8,22,2.112
46147,8,22,8
19822,8,17,1.632
53036,8,13,2.496
12426,8,21,2.016
17027,8,25,4
91969,8,17,8
16547,8,24,4
74453,8,8,0.768
94661,8,20,8
45252,8,15,1.44
19142,8,17,3.264
64490,8,33,8
51106,8,15,1.44
12886,8,7,0.672
91273,8,19,3.648
76711,8,30,2.88
43410,8,24,2.304
56725,8,28,4
51325,8,37,8
42557,8,14,1.344
57338,8,18,3.456
38955,8,15,8
95578,8,8,NA
66482,8,37,3.552
38186,8,15,2.88
34334,8,23,2.208
17824,8,9,1.728
33117,8,29,2.784
89578,8,19,8
33453,8,22,NA
14150,8,22,4
12973,8,28,2.688
48348,8,14,NA
35840,8,39,3.744
14276,8,34,3.264
33147,8,9,NA
59176,8,24,2.304
55141,8,5,NA
94847,8,29,4
42387,8,22,4
96211,8,37,3.552
22787,8,20,3.84
25322,8,29,2.784
71598,8,26,2.496
32844,8,26,4
87792,8,24,2.304
49759,8,25,8
68259,8,12,1.152
44282,8,30,4
89332,8,34,4
89490,8,19,1.824
96420,8,22,8
92777,8,15,2.88
34693,8,24,NA
99856,8,16,3.072
60851,8,20,1.92
37440,8,9,1.728
10874,8,10,NA
79322,8,28,4
53490,8,34,3.264
94592,8,17,3.264
99578,8,35,4
19933,8,20,8
68238,8,29,2.784
85581,8,26,2.496
67526,8,21,8
58174,8,18,3.456
93891,8,30,2.88
90733,8,30,2.88
22063,8,23,2.208
77669,8,30,4
51977,8,16,NA
97334,8,16,8
16079,8,23,4
26799,8,6,0.576
83922,8,22,2.112
74691,8,28,8
91461,8,17,1.632
10673,8,25,NA
99822,8,9,1.728
77437,8,16,1.536
49194,8,24,4
51897,8,27,2.592
47823,8,14,1.344
65203,8,22,2.112
24166,8,10,0.96
64748,8,25,4
26484,8,25,2.4
14585,8,23,4
53903,8,23,4
90658,8,17,1.632
56012,8,35,3.36
26234,8,30,4
55809,8,31,2.976
52805,8,33,3.168
28849,8,13,NA
34533,8,14,2.688
66054,8,23,8
17108,8,19,1.824
23806,8,11,8
25547,8,11,2.112
40209,8,5,8
29373,8,31,2.976
33436,8,15,1.44
76422,8,14,2.688
35133,8,28,4
84481,8,8,NA
15185,8,23,2.208
41416,8,17,8
93968,8,31,8
28070,8,19,3.648
57131,8,29,8
11758,8,17,1.632
10017,8,31,NA
70062,8,20,8
16397,8,15,8
69510,8,23,4
29684,8,9,1.728
24700,8,36,8
95051,8,20,3.84
26170,8,17,3.264
66860,8,27,2.592
87165,8,25,2.4
96567,8,28,4
17875,8,7,8
11595,8,27,4
29547,8,30,4
79760,8,12,1.152
92314,8,16,1.536
96219,8,25,8
99189,8,26,4
51075,8,21,2.016
97576,8,24,2.304
54202,8,34,NA
50581,8,11,1.056
49112,8,5,0.48
11136,8,18,3.456
96799,8,17,3.264
87782,8,36,4
97090,8,32,4
53983,8,21,NA
82098,8,20,1.92
31155,8,42,4
62465,8,15,1.44
40273,8,20,NA
19008,8,33,4
35950,8,16,1.536
35345,8,27,4
43654,8,17,1.632
14420,8,24,2.304
35549,8,23,4
66903,8,33,4
11902,8,25,2.4
59928,8,17,NA
18615,8,8,0.768
84978,8,22,2.112
70006,8,25,4
58459,8,30,NA
40831,8,28,4
28492,8,33,3.168
35507,8,13,8
37796,8,24,2.304
89491,8,17,1.632
10951,8,28,NA
82516,8,23,2.208
58378,8,20,1.92
53638,8,20,1.92
30080,8,39,4
82936,8,8,0.768
68823,8,6,0.576
42149,8,20,8
16489,8,25,2.4
63737,8,17,3.264
44938,8,31,4
18397,8,27,8
92831,8,33,8
57042,8,25,2.4
79779,8,8,1.536
40349,8,27,4
98241,8,14,2.688
22564,8,26,2.496
97085,8,20,1.92
62602,8,39,8
69721,8,6,8
18021,8,27,NA
62472,8,21,8
71480,8,28,2.688
28575,8,15,2.88
93531,8,22,2.112
97627,8,25,2.4
98570,8,17,8
51922,8,29,4
75045,8,18,1.728
70468,8,16,8
62767,8,31,2.976
81970,8,18,3.456
40994,8,32,8
31971,8,31,2.976
58960,8,14,8
89414,8,12,2.304
37029,8,28,4
65283,8,19,1.824
89141,8,33,4
36202,8,21,2.016
88270,8,25,8
88497,8,18,8
72166,8,11,2.112
14311,8,30,4
15041,8,25,2.4
52539,8,33,4
10045,8,29,NA
50085,8,12,2.304
19723,8,12,2.304
46278,8,13,2.496
87975,8,17,1.632
24110,8,18,1.728
50962,8,35,3.36
99057,8,23,4
50020,8,28,8
51611,8,21,4
66326,8,29,8
10412,8,5,NA
67540,8,20,8
30150,8,35,8
55614,8,27,NA
69645,8,23,2.208
41848,8,32,8
28986,8,22,NA
92523,8,19,8
51652,8,29,4
30883,8,13,8
79945,8,6,NA
98488,8,22,8
11496,8,30,2.88
29425,8,21,2.016
70098,8,21,8
42902,8,24,2.304
67265,8,19,1.824
76058,8,18,8
93835,8,26,4
65085,8,14,2.688
22073,8,16,NA
42543,8,17,3.264
19896,8,19,NA
44335,8,37,8
53972,8,20,3.84
17555,8,18,3.456
54768,8,26,4
89338,8,33,3.168
24286,8,16,8
88360,8,37,4
27912,8,19,3.648
58951,8,9,0.864
65443,8,36,8
96587,8,26,4
75555,8,16,1.536
43304,8,34,3.264
69795,8,23,2.208
40896,8,24,NA
22913,8,32,8
99981,8,29,2.784
90675,8,28,2.688
95047,8,23,4
74702,8,10,0.96
44301,8,29,2.784
73415,8,17,8
26446,8,19,1.824
74000,8,30,4
82913,8,25,2.4
83752,8,17,8
11720,8,27,NA
59624,8,15,NA
