studID,hsID,gradStatus
16234,McKoy High School,1
16489,McKoy High School,1
17108,McKoy High School,0
17555,McKoy High School,1
18969,McKoy High School,1
19008,McKoy High School,1
19175,McKoy High School,0
19266,McKoy High School,1
19636,McKoy High School,1
19896,McKoy High School,0
21127,McKoy High School,1
21136,McKoy High School,1
21287,McKoy High School,1
22073,McKoy High School,1
22363,McKoy High School,0
23007,McKoy High School,1
23851,McKoy High School,1
24700,McKoy High School,1
25369,McKoy High School,0
26234,McKoy High School,1
26440,McKoy High School,1
26446,McKoy High School,1
26484,McKoy High School,0
26947,McKoy High School,0
27245,McKoy High School,1
27297,McKoy High School,1
27426,McKoy High School,1
27912,McKoy High School,0
28492,McKoy High School,1
28769,McKoy High School,1
28986,McKoy High School,0
29684,McKoy High School,1
30080,McKoy High School,1
30883,McKoy High School,0
31155,McKoy High School,1
31509,McKoy High School,0
31923,McKoy High School,1
32389,McKoy High School,1
32844,McKoy High School,1
33066,McKoy High School,1
34334,McKoy High School,1
34901,McKoy High School,1
35310,McKoy High School,1
35840,McKoy High School,1
36163,McKoy High School,1
36202,McKoy High School,1
36957,McKoy High School,1
37796,McKoy High School,1
38955,McKoy High School,1
39367,McKoy High School,1
40040,McKoy High School,1
40155,McKoy High School,1
40209,McKoy High School,0
40349,McKoy High School,1
40655,McKoy High School,1
40896,McKoy High School,1
41358,McKoy High School,1
41416,McKoy High School,1
41848,McKoy High School,1
42180,McKoy High School,1
42387,McKoy High School,0
42902,McKoy High School,1
43304,McKoy High School,1
44019,McKoy High School,1
44282,McKoy High School,1
44301,McKoy High School,1
44938,McKoy High School,1
45252,McKoy High School,1
45872,McKoy High School,1
46147,McKoy High School,1
46278,McKoy High School,1
47366,McKoy High School,0
49112,McKoy High School,1
49816,McKoy High School,1
50085,McKoy High School,1
50581,McKoy High School,1
51496,McKoy High School,1
51897,McKoy High School,1
51922,McKoy High School,1
53152,McKoy High School,1
53972,McKoy High School,0
54412,McKoy High School,1
55141,McKoy High School,0
55614,McKoy High School,1
56725,McKoy High School,1
57059,McKoy High School,1
57131,McKoy High School,1
58378,McKoy High School,1
58486,McKoy High School,1
58960,McKoy High School,0
59176,McKoy High School,1
59928,McKoy High School,1
60667,McKoy High School,1
61218,McKoy High School,1
62078,McKoy High School,1
62294,McKoy High School,1
62465,McKoy High School,1
62472,McKoy High School,1
62602,McKoy High School,1
62607,McKoy High School,1
65871,McKoy High School,1
66326,McKoy High School,1
66482,McKoy High School,1
66896,McKoy High School,1
66903,McKoy High School,1
67540,McKoy High School,0
68238,McKoy High School,1
68750,McKoy High School,1
68823,McKoy High School,1
68865,McKoy High School,1
69721,McKoy High School,1
69878,McKoy High School,1
70062,McKoy High School,1
70311,McKoy High School,1
70468,McKoy High School,1
70834,McKoy High School,1
71740,McKoy High School,1
72653,McKoy High School,1
73536,McKoy High School,1
74453,McKoy High School,1
75269,McKoy High School,1
75318,McKoy High School,0
75322,McKoy High School,1
75677,McKoy High School,0
76332,McKoy High School,1
76711,McKoy High School,1
77236,McKoy High School,1
77479,McKoy High School,1
77669,McKoy High School,1
78008,McKoy High School,0
78208,McKoy High School,1
79760,McKoy High School,0
79779,McKoy High School,1
79945,McKoy High School,1
80324,McKoy High School,1
80688,McKoy High School,1
81199,McKoy High School,1
81970,McKoy High School,0
82127,McKoy High School,0
82936,McKoy High School,1
84014,McKoy High School,1
84481,McKoy High School,0
85644,McKoy High School,1
87165,McKoy High School,1
87782,McKoy High School,1
87792,McKoy High School,1
87828,McKoy High School,1
88360,McKoy High School,1
88782,McKoy High School,1
89080,McKoy High School,0
89141,McKoy High School,0
89332,McKoy High School,1
89338,McKoy High School,1
89490,McKoy High School,1
89578,McKoy High School,1
90675,McKoy High School,1
91207,McKoy High School,0
95047,McKoy High School,1
95327,McKoy High School,1
95578,McKoy High School,1
95715,McKoy High School,1
96188,McKoy High School,1
96211,McKoy High School,0
96420,McKoy High School,1
96423,McKoy High School,0
96587,McKoy High School,1
96707,McKoy High School,1
96799,McKoy High School,1
97334,McKoy High School,1
98241,McKoy High School,0
20603,McKoy High School,1
86391,McKoy High School,1
64690,McKoy High School,0
81290,McKoy High School,1
10461,Rahameto High School,1
10705,Rahameto High School,1
10725,Rahameto High School,1
14420,Rahameto High School,1
16079,Rahameto High School,1
16397,Rahameto High School,0
16828,Rahameto High School,1
18021,Rahameto High School,1
19142,Rahameto High School,1
19321,Rahameto High School,1
19390,Rahameto High School,1
22564,Rahameto High School,1
25547,Rahameto High School,1
26799,Rahameto High School,0
29425,Rahameto High School,1
31971,Rahameto High School,1
32370,Rahameto High School,1
35507,Rahameto High School,1
35549,Rahameto High School,1
36695,Rahameto High School,1
38159,Rahameto High School,1
38443,Rahameto High School,1
39857,Rahameto High School,1
41522,Rahameto High School,1
42543,Rahameto High School,1
50020,Rahameto High School,1
53036,Rahameto High School,1
55745,Rahameto High School,1
56012,Rahameto High School,1
56152,Rahameto High School,0
56920,Rahameto High School,1
57338,Rahameto High School,1
58459,Rahameto High School,1
59624,Rahameto High School,1
59649,Rahameto High School,0
59828,Rahameto High School,1
63172,Rahameto High School,1
65443,Rahameto High School,1
66054,Rahameto High School,1
66860,Rahameto High School,1
67586,Rahameto High School,0
68259,Rahameto High School,1
69645,Rahameto High School,1
71366,Rahameto High School,1
74691,Rahameto High School,1
74979,Rahameto High School,1
76617,Rahameto High School,0
82571,Rahameto High School,1
82575,Rahameto High School,1
84562,Rahameto High School,1
87643,Rahameto High School,1
89410,Rahameto High School,1
90733,Rahameto High School,1
94592,Rahameto High School,1
96036,Rahameto High School,1
96219,Rahameto High School,1
96567,Rahameto High School,1
96777,Rahameto High School,1
97090,Rahameto High School,1
99017,Rahameto High School,1
99057,Rahameto High School,1
99189,Rahameto High School,1
99856,Rahameto High School,1
11131,Seeskin HS,1
12426,Seeskin HS,1
12973,Seeskin HS,1
14311,Seeskin HS,1
18930,Seeskin HS,1
19723,Seeskin HS,1
19822,Seeskin HS,1
22787,Seeskin HS,1
24110,Seeskin HS,1
24166,Seeskin HS,0
24286,Seeskin HS,0
26170,Seeskin HS,1
26177,Seeskin HS,0
28070,Seeskin HS,1
28849,Seeskin HS,1
29373,Seeskin HS,1
29416,Seeskin HS,1
30150,Seeskin HS,1
33147,Seeskin HS,1
33436,Seeskin HS,1
33706,Seeskin HS,1
34533,Seeskin HS,1
35133,Seeskin HS,1
35345,Seeskin HS,0
35950,Seeskin HS,0
37029,Seeskin HS,1
37440,Seeskin HS,1
39973,Seeskin HS,1
40273,Seeskin HS,1
42149,Seeskin HS,1
42274,Seeskin HS,1
42557,Seeskin HS,1
43410,Seeskin HS,1
44937,Seeskin HS,1
45388,Seeskin HS,1
47823,Seeskin HS,1
48348,Seeskin HS,1
48611,Seeskin HS,0
49108,Seeskin HS,0
49159,Seeskin HS,1
49194,Seeskin HS,1
50952,Seeskin HS,1
50962,Seeskin HS,1
51930,Seeskin HS,1
52539,Seeskin HS,1
53338,Seeskin HS,1
53983,Seeskin HS,1
54194,Seeskin HS,1
54622,Seeskin HS,1
54768,Seeskin HS,1
55827,Seeskin HS,0
56369,Seeskin HS,1
57272,Seeskin HS,1
57845,Seeskin HS,1
58174,Seeskin HS,1
58951,Seeskin HS,0
62765,Seeskin HS,1
62767,Seeskin HS,1
64295,Seeskin HS,1
64490,Seeskin HS,1
64748,Seeskin HS,1
67265,Seeskin HS,1
67526,Seeskin HS,1
69510,Seeskin HS,1
70006,Seeskin HS,1
71598,Seeskin HS,1
73415,Seeskin HS,1
73475,Seeskin HS,1
74000,Seeskin HS,1
74702,Seeskin HS,0
75070,Seeskin HS,0
78589,Seeskin HS,1
79322,Seeskin HS,1
81018,Seeskin HS,1
81160,Seeskin HS,1
81168,Seeskin HS,1
81229,Seeskin HS,1
81444,Seeskin HS,1
82098,Seeskin HS,0
82516,Seeskin HS,1
83752,Seeskin HS,1
84513,Seeskin HS,0
85910,Seeskin HS,1
86206,Seeskin HS,1
86514,Seeskin HS,1
87975,Seeskin HS,1
88021,Seeskin HS,0
88497,Seeskin HS,1
89414,Seeskin HS,1
89491,Seeskin HS,1
90658,Seeskin HS,1
93968,Seeskin HS,1
97085,Seeskin HS,0
97281,Seeskin HS,0
97576,Seeskin HS,1
98488,Seeskin HS,1
99578,Seeskin HS,1
99822,Seeskin HS,1
74077,Seeskin HS,1
72215,Seeskin HS,1
96358,Seeskin HS,1
